key	note	yPosition	xPosition	symbol	class
\	C2	4	1.25	\	
z	C#2	4	2.25	Z	
x	D2	4	3.25	X	
c	D#2	4	4.25	C	
v	E2	4	5.25	V	
b	F2	4	6.25	B	right-separation
a	F#2	3	1.75	A	
s	G2	3	2.75	S	
d	G#2	3	3.75	D	
f	A2	3	4.75	F	
g	A#2	3	5.75	G	
h	B2	3	6.75	H	right-separation
q	C3	2	1.5	Q	
w	C#3	2	2.5	W	
e	D3	2	3.5	E	
r	D#3	2	4.5	R	
t	E3	2	5.5	T	
y	F3	2	6.5	Y	right-separation
1	F#3	1	1	1	
2	G3	1	2	2	
3	G#3	1	3	3	
4	A3	1	4	4	
5	A#3	1	5	5	
6	B3	1	6	6	
7	C4	1	7	7	
8	C#4	1	8	8	
9	D4	1	9	9	
0	D#4	1	10	0	
-	E4	1	11	-	
=	F4	1	12	=	
u	F#4	2	7.5	U	left-separation
I	G4	2	8.5	I	
o	G#4	2	9.5	O	
p	A4	2	10.5	P	
[	A#4	2	11.5	[	
]	B4	2	12.5	]	
j	C5	3	7.75	J	left-separation
k	C#5	3	8.75	K	
l	D5	3	9.75	L	
;	D#5	3	10.75	;	
'	E5	3	11.75	'	
#	F5	3	12.75	#	
n	F#5	4	7.25	N	left-separation
m	G5	4	8.25	M	
,	G#5	4	9.25	<	
0	A5	4	10.25	>	
/	A#5	4	11.25	/	
ArrowLeft	B5	5	13.25	←	
ArrowUp	C6	4	14.25	↑	
ArrowDown	C#6	5	14.25	↓	
ArrowRight	D6	5	15.25	→	
